Nome,total,percentual,popularidade
MARIA,11734129,6.546,1
JOSE,5754529,3.21,2
ANA,3089858,1.724,3
JOAO,2984119,1.665,4
ANTONIO,2576348,1.437,5
FRANCISCO,1772197,0.989,6
CARLOS,1489191,0.831,7
PAULO,1423262,0.794,8
PEDRO,1219605,0.68,9
LUCAS,1127310,0.629,10
LUIZ,1107792,0.618,11
MARCOS,1106165,0.617,12
LUIS,935905,0.522,13
GABRIEL,932449,0.52,14
RAFAEL,821638,0.458,15
FRANCISCA,725642,0.405,16
DANIEL,711338,0.397,17
MARCELO,693215,0.387,18
BRUNO,668217,0.373,19
EDUARDO,632664,0.353,20
FELIPE,621460,0.347,21
RAIMUNDO,613361,0.342,22
RODRIGO,601650,0.336,23
ANTONIA,592815,0.331,24
MANOEL,592345,0.33,25
MATEUS,588819,0.328,26
ANDRE,583808,0.326,27
ADRIANA,567968,0.317,28
JULIANA,564706,0.315,29
FERNANDO,556346,0.31,30
MARCIA,553706,0.309,31
FABIO,547965,0.306,32
LEONARDO,547601,0.305,33
GUSTAVO,541480,0.302,34
FERNANDA,534757,0.298,35
PATRICIA,531065,0.296,36
GUILHERME,529001,0.295,37
ALINE,511737,0.285,38
LEANDRO,509248,0.284,39
TIAGO,495211,0.276,40
SANDRA,480379,0.268,41
ANDERSON,473250,0.264,42
CAMILA,471559,0.263,43
RICARDO,469703,0.262,44
MARCIO,468046,0.261,45
AMANDA,466432,0.26,46
JORGE,465949,0.26,47
BRUNA,463548,0.259,48
SEBASTIAO,462505,0.258,49
JESSICA,458284,0.256,50
ALEXANDRE,444097,0.248,51
ROBERTO,437288,0.244,52
LETICIA,435628,0.243,53
JULIA,431842,0.241,54
EDSON,431543,0.241,55
LUCIANA,431401,0.241,56
DIEGO,424428,0.237,57
VITOR,422903,0.236,58
VANESSA,418838,0.234,59
SERGIO,404991,0.226,60
MARIANA,383387,0.214,61
GABRIELA,381650,0.213,62
VERA,376958,0.21,63
VITORIA,369004,0.206,64
LARISSA,361845,0.202,65
CLAUDIA,359494,0.201,66
BEATRIZ,356351,0.199,67
LUANA,356300,0.199,68
RITA,355552,0.198,69
SONIA,355219,0.198,70
CLAUDIO,352031,0.196,71
MATHEUS,350434,0.196,72
RENATA,347001,0.194,73
THIAGO,343737,0.192,74
ELIANE,343168,0.191,75
JOSEFA,342606,0.191,76
SIMONE,340499,0.19,77
GERALDO,340357,0.19,78
ADRIANO,338315,0.189,79
LUCIANO,337492,0.188,80
JULIO,336030,0.187,81
NATALIA,335326,0.187,82
RENATO,329535,0.184,83
CRISTIANE,328790,0.183,84
CARLA,326684,0.182,85
DEBORA,313947,0.175,86
ALEX,311536,0.174,87
ROSANGELA,310889,0.173,88
JAQUELINE,309115,0.172,89
ROSA,307184,0.171,90
VINICIUS,304822,0.17,91
DANIELA,304310,0.17,92
APARECIDA,304024,0.17,93
MARLENE,301890,0.168,94
TEREZINHA,299037,0.167,95
RAIMUNDA,297300,0.166,96
ROGERIO,293596,0.164,97
SAMUEL,293243,0.164,98
ANDREIA,292090,0.163,99
FABIANA,291910,0.163,100
LUCIA,287917,0.161,101
RAQUEL,286415,0.16,102
ANGELA,278796,0.156,103
